component 1,component 2,component 3,class
3.071907,5.478265,3.2097573,GALAXY
8.539887,5.012779,5.176069,GALAXY
3.7729812,6.245323,9.71978,STAR
3.4876614,8.555841,9.083054,QSO
3.6107547,-2.3688123,1.4506583,GALAXY
1.4527494,10.870099,8.5901,STAR
8.127964,1.253104,7.29695,QSO
8.181325,9.991172,6.311466,STAR
4.218001,6.942707,4.847572,GALAXY
1.4913629,9.231414,7.883095,GALAXY
2.5896318,6.0244,5.619342,GALAXY
2.1583416,5.3672633,5.9337316,GALAXY
6.3334637,5.9472704,5.2273774,GALAXY
6.7153044,4.6957426,8.876653,QSO
11.579043,6.2591133,-0.104952246,GALAXY
7.6087627,3.965119,8.176324,QSO
5.1173167,-1.1916473,0.67509985,GALAXY
10.640623,8.981519,3.743573,GALAXY
4.56638,8.056993,8.809454,QSO
6.687542,10.349813,6.392482,GALAXY
7.2909336,11.913901,4.3086586,QSO
4.9383764,1.0781059,8.053995,STAR
1.5320196,4.48061,1.5699778,GALAXY
9.802974,11.248317,8.75671,GALAXY
8.091105,4.0662713,7.9608994,QSO
1.8647133,11.045335,7.00917,QSO
4.791691,1.5963892,1.4694194,GALAXY
1.6180112,1.7487687,-0.80792344,GALAXY
7.6898737,3.3392224,6.5603557,GALAXY
3.1029162,-2.32482,0.71759456,GALAXY
1.4681544,3.9632492,1.4824141,STAR
4.7798066,8.027429,4.736116,STAR
3.5505636,8.3123,-2.7568352,GALAXY
8.709969,5.0576754,5.0063133,STAR
5.0440183,5.477101,5.3685756,STAR
3.6647635,3.3575118,4.5732565,STAR
4.1895976,-0.9535065,3.0752773,GALAXY
4.991811,-2.2037408,2.33183,GALAXY
11.9128065,6.54023,0.28537634,GALAXY
9.911167,4.6929755,5.425395,GALAXY
7.237985,5.693276,4.401127,STAR
0.0031927726,2.7226355,4.4107885,GALAXY
7.234822,12.195069,10.39918,GALAXY
8.0465975,1.3126969,5.6401043,QSO
9.096362,1.5257864,6.5681148,QSO
2.6554968,6.101734,5.5689893,GALAXY
8.876517,5.6765623,1.5346053,GALAXY
4.407589,0.9841766,0.8064517,GALAXY
2.5000513,6.6967397,2.8066278,STAR
4.185194,11.211867,8.408945,QSO
6.690269,9.117764,-0.020579966,GALAXY
7.841833,10.494139,4.0166483,QSO
